Project ID,Project Name,Street Number,Street Name,Street Type,Zip Code,City Analysis Neighborhood,Supervisor District,Project Sponsor,Total Units,Total Beds,Affordable Units,Affordable Beds,Single Room Occupancy Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Family Units,Senior Units,TAY Units,Homeless Units,LOSP Units,Disabled Units,20% AMI,30% AMI,40% AMI,50% AMI,60% AMI,80% AMI,120% AMI,More than 120% AMI,Year Building Constructed,Year Affordability Began,Latitude,Longitude,Location,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_bh8s_q3mv,:@computed_region_yftq_j783,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9
1982-004,2945 16th,2945,16th,St,94110,Mission,9,Mission Housing Development Corporation,8,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,1921,1987,37.76,-122.4184875,POINT (-122.41848750000001 37.76),53,3,2,20,19,28859,2,4,7
1987-001,Coleridge Park Homes,190,Coleridge,St,94110,Bernal Heights,9,Bridge Housing,49,0,49,0,0,2,43,4,0,0,0,1,48,0,0,0,0,0,0,0,0,35,14,0,0,1989,1990,37.74,-122.4206238,POINT (-122.4206238 37.74),61,9,2,2,2,28859,2,7,7
2012-007,Candlestick Heights,833,Jamestown,Ave,94124,Bayview Hunters Point,10,"New Jamestown, LP",196,0,194,0,0,0,20,130,18,26,0,194,0,0,0,0,0,0,0,0,43,151,0,0,0,2013,2014,37.72,-122.3922195,POINT (-122.39221950000001 37.72),88,2,9,1,1,58,10,3,8
2012-026,2175 Market,2175,Market,St,94114,Castro/Upper Market,8,"FC 2175 Market, LLC.",88,0,18,0,0,0,11,7,0,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,2013,2014,37.77,-122.4299164,POINT (-122.42991640000001 37.77),28,7,5,9,10,29492,7,9,5
1989-004,Jelani House,1601,Quesada,Ave,94124,Bayview Hunters Point,10,"Jelani, Inc. (Bayview Hunters Point Foundation)",13,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1938,1991,37.73,-122.3899765,POINT (-122.38997650000002 37.73),86,2,9,1,1,58,10,3,8
1994-003,Juan Pifarre Plaza,3101,21st,St,94110,Mission,9,Mission Housing Development Corporation,30,0,29,0,0,0,3,8,14,4,0,29,0,0,0,0,0,0,0,0,14,15,0,0,0,1998,1998,37.76,-122.4171448,POINT (-122.4171448 37.76),53,3,2,20,19,28859,2,4,7
2011-007,Franciscan Towers,217,Eddy,St,94102,Tenderloin,6,Tenderloin Neighborhood Development Corporation,105,0,104,0,0,94,10,0,0,0,0,104,0,0,0,0,0,0,0,0,21,83,0,0,0,1914,1993,37.78,-122.4112701,POINT (-122.4112701 37.78),32,5,10,34,34,28853,14,2,9
2000-014,Curran House,145,Taylor,St,94102,Tenderloin,6,Tenderloin Neighborhood Development Corporation,67,0,66,0,0,14,15,13,24,0,0,66,0,0,10,0,0,0,0,0,66,0,0,0,0,2005,2005,37.78,-122.4112244,POINT (-122.4112244 37.78),32,5,10,34,34,28853,14,2,9
2008-001,Bill Sorro Community (Hugo/200 6th),1009,Howard,St,94103,South of Market,6,Mercy Housing California,67,0,66,0,0,8,24,24,10,0,0,66,0,0,0,0,14,0,0,0,66,0,0,0,0,2014,2017,37.78,-122.4071016,POINT (-122.40710160000002 37.78),32,1,10,34,34,28853,14,2,9
1982-009,Swiss American Hotel,534,Broadway,Yes,94133,North Beach,3,Chinatown Community Development Center,66,0,34,0,33,1,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,34,0,0,1910,1985,37.8,-122.4061584,POINT (-122.40615840000001 37.8),106,6,3,23,23,308,3,1,10
1990-003,William Penn Hotel,160,Eddy,St,94102,Tenderloin,6,Chinatown Community Development Center,91,0,89,0,89,0,0,0,0,0,0,89,0,0,10,0,0,0,0,0,89,0,0,0,0,1909,1993,37.78,-122.4102631,POINT (-122.4102631 37.78),32,5,10,34,34,28853,14,2,9
1980-007,Tennessee Street Housing Corporation,712,Tennessee,St,94107,Potrero Hill,10,Tennessee Street Housing Corporation,6,0,6,0,0,1,3,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,2,0,1928,1982,37.76,-122.3900146,POINT (-122.39001460000001 37.76),55,2,9,26,29,28856,10,3,8
1988-006,Bayside Elderly Housing,777,Broadway,Yes,94133,Chinatown,3,Chinatown Community Development Center,31,0,30,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,1989,1989,37.8,-122.4093475,POINT (-122.4093475 37.8),106,6,3,23,23,308,3,1,10
2013-041,Westside Courts Public Housing,2501,Sutter,St,94115,Japantown,5,EM Johnson,135,0,134,0,0,0,83,23,20,8,0,134,0,0,0,0,0,0,0,0,134,0,0,0,0,1943,2016,37.78,-122.4422658,POINT (-122.4422658 37.78),13,7,6,18,16,29490,15,5,1
1995-019,Hazel Betsey,3554,17th,St,94110,Mission,8,Bernal Heights Housing Corporation,9,0,9,0,0,6,3,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,2002,2002,37.76,-122.4251251,POINT (-122.4251251 37.76),37,3,5,20,19,28859,2,4,5
1988-001,Mercy Family Plaza,1509,Hayes,St,94117,Lone Mountain/USF,5,Mercy Housing California,36,0,22,0,0,3,6,8,5,0,0,22,0,0,0,0,0,0,0,0,0,0,22,0,0,1909,1990,37.77,-122.4419556,POINT (-122.4419556 37.77),112,7,5,3,9,29492,15,5,5
